; Buckwalter Arabic Lexicon -- Version Date: April 2009				
; Copyright (c) 2000-2009 QAMUS LLC (www.qamus.org)				
		Pref-0		
w	wa	Pref-Wa	and	CONJ
f	fa	Pref-Wa	and/so	CONJ
b	bi	NPref-Bi	by/with	PREP
k	ka	NPref-Bi	like/such as	PREP
wb	wabi	NPref-Bi	and + by/with	CONJ + PREP
fb	fabi	NPref-Bi	and + by/with	CONJ + PREP
wk	waka	NPref-Bi	and + like/such as	CONJ + PREP
fk	faka	NPref-Bi	and + like/such as	CONJ + PREP
l	li	NPref-Li	for/to	PREP
wl	wali	NPref-Li	and + for/to	CONJ + PREP
fl	fali	NPref-Li	and + for/to	CONJ + PREP
l	la	NPref-La	indeed/truly	EMPH_PART
l	la	PVPref-La	would have	RC_PART
mA	mA	PVPref-mA	not	NEG_PART
mA	mA	PVPref-mA	[REL PRON]	REL_PRON
wmA	wamA	PVPref-mA	and + not	CONJ + NEG_PART
wmA	wamA	PVPref-mA	and + [REL PRON]	CONJ + REL_PRON
fmA	famA	PVPref-mA	and/so + not	CONJ + NEG_PART
fmA	famA	PVPref-mA	and/so + [REL PRON]	CONJ + REL_PRON
ll	lal	NPref-Lal	indeed/truly/(oh how) + (the)	EMPH_PART + DET
Al	Al	NPref-Al	the	DET
wAl	waAl	NPref-Al	and + the	CONJ + DET
fAl	faAl	NPref-Al	and/so + the	CONJ + DET
bAl	biAl	NPref-BiAl	with/by + the	PREP + DET
kAl	kaAl	NPref-BiAl	like/such as + the	PREP + DET
wbAl	wabiAl	NPref-BiAl	and + with/by + the	CONJ + PREP + DET
fbAl	fabiAl	NPref-BiAl	and/so + with/by + the	CONJ + PREP + DET
wkAl	wakaAl	NPref-BiAl	and + like/such as + the	CONJ + PREP + DET
fkAl	fakaAl	NPref-BiAl	and + like/such as + the	CONJ + PREP + DET
lbAl	labiAl	NPref-BiAl	indeed/verily + (is) + the	EMPH_PART + PREP + DET
ll	lil	NPref-Lil	to/for + the	PREP + DET
wll	walil	NPref-Lil	and + to/for + the	CONJ + PREP + DET
fll	falil	NPref-Lil	and/so + to/for + the	CONJ + PREP + DET
l	li	NPref-LiAl	to/for + the	PREP + DET
wl	wali	NPref-LiAl	and + to/for + the	CONJ + PREP + DET
fl	fali	NPref-LiAl	and/so + to/for + the	CONJ + PREP + DET
y	ya	IVPref-hw-ya	he/it	SUBJ:3MS
y	yu	IVPref-hw-yu	he/it	SUBJ:3MS
wy	waya	IVPref-hw-ya	and + he/it	CONJ + SUBJ:3MS
wy	wayu	IVPref-hw-yu	and + he/it	CONJ + SUBJ:3MS
fy	faya	IVPref-hw-ya	and/so + he/it	CONJ + SUBJ:3MS
fy	fayu	IVPref-hw-yu	and/so + he/it	CONJ + SUBJ:3MS
sy	saya	IVPref-hw-ya	will + he/it	FUT + SUBJ:3MS
sy	sayu	IVPref-hw-yu	will + he/it	FUT + SUBJ:3MS
wsy	wasaya	IVPref-hw-ya	and + will + he/it	CONJ + FUT + SUBJ:3MS
wsy	wasayu	IVPref-hw-yu	and + will + he/it	CONJ + FUT + SUBJ:3MS
fsy	fasaya	IVPref-hw-ya	and/so + will + he/it	CONJ + FUT + SUBJ:3MS
fsy	fasayu	IVPref-hw-yu	and/so + will + he/it	CONJ + FUT + SUBJ:3MS
lAy	lAya	IVPref-hw-ya	not + he/it	NEG_PART + SUBJ:3MS
lAy	lAyu	IVPref-hw-yu	not + he/it	NEG_PART + SUBJ:3MS
wlAy	walAya	IVPref-hw-ya	and + not + he/it	CONJ + NEG_PART + SUBJ:3MS
wlAy	walAyu	IVPref-hw-yu	and + not + he/it	CONJ + NEG_PART + SUBJ:3MS
flAy	falAya	IVPref-hw-ya	and/so + not + he/it	CONJ + NEG_PART + SUBJ:3MS
flAy	falAyu	IVPref-hw-yu	and/so + not + he/it	CONJ + NEG_PART + SUBJ:3MS
mAy	mAya	IVPref-hw-ya	not + he/it	NEG_PART + SUBJ:3MS
mAy	mAyu	IVPref-hw-yu	not + he/it	NEG_PART + SUBJ:3MS
wmAy	wamAya	IVPref-hw-ya	and + not + he/it	CONJ + NEG_PART + SUBJ:3MS
wmAy	wamAyu	IVPref-hw-yu	and + not + he/it	CONJ + NEG_PART + SUBJ:3MS
fmAy	famAya	IVPref-hw-ya	and/so + not + he/it	CONJ + NEG_PART + SUBJ:3MS
fmAy	famAyu	IVPref-hw-yu	and/so + not + he/it	CONJ + NEG_PART + SUBJ:3MS
y	ya	IVPref-hmA-ya	they [DU]	SUBJ:3MD
y	yu	IVPref-hmA-yu	they [DU]	SUBJ:3MD
wy	waya	IVPref-hmA-ya	and + they [DU]	CONJ + SUBJ:3MD
wy	wayu	IVPref-hmA-yu	and + they [DU]	CONJ + SUBJ:3MD
fy	faya	IVPref-hmA-ya	and/so + they [DU]	CONJ + SUBJ:3MD
fy	fayu	IVPref-hmA-yu	and/so + they [DU]	CONJ + SUBJ:3MD
sy	saya	IVPref-hmA-ya	will + they [DU]	FUT + SUBJ:3MD
sy	sayu	IVPref-hmA-yu	will + they [DU]	FUT + SUBJ:3MD
wsy	wasaya	IVPref-hmA-ya	and + will + they [DU]	CONJ + FUT + SUBJ:3MD
wsy	wasayu	IVPref-hmA-yu	and + will + they [DU]	CONJ + FUT + SUBJ:3MD
fsy	fasaya	IVPref-hmA-ya	and/so + will + they [DU]	CONJ + FUT + SUBJ:3MD
fsy	fasayu	IVPref-hmA-yu	and/so + will + they [DU]	CONJ + FUT + SUBJ:3MD
lAy	lAya	IVPref-hmA-ya	not + they [DU]	NEG_PART + SUBJ:3MD
lAy	lAyu	IVPref-hmA-yu	not + they [DU]	NEG_PART + SUBJ:3MD
wlAy	walAya	IVPref-hmA-ya	and + not + they [DU]	CONJ + NEG_PART + SUBJ:3MD
wlAy	walAyu	IVPref-hmA-yu	and + not + they [DU]	CONJ + NEG_PART + SUBJ:3MD
flAy	falAya	IVPref-hmA-ya	and/so + not + they [DU]	CONJ + NEG_PART + SUBJ:3MD
flAy	falAyu	IVPref-hmA-yu	and/so + not + they [DU]	CONJ + NEG_PART + SUBJ:3MD
mAy	mAya	IVPref-hmA-ya	not + they [DU]	NEG_PART + SUBJ:3MD
mAy	mAyu	IVPref-hmA-yu	not + they [DU]	NEG_PART + SUBJ:3MD
wmAy	wamAya	IVPref-hmA-ya	and + not + they [DU]	CONJ + NEG_PART + SUBJ:3MD
wmAy	wamAyu	IVPref-hmA-yu	and + not + they [DU]	CONJ + NEG_PART + SUBJ:3MD
fmAy	famAya	IVPref-hmA-ya	and/so + not + they [DU]	CONJ + NEG_PART + SUBJ:3MD
fmAy	famAyu	IVPref-hmA-yu	and/so + not + they [DU]	CONJ + NEG_PART + SUBJ:3MD
y	ya	IVPref-hm-ya	they (people)	SUBJ:3MP
y	yu	IVPref-hm-yu	they (people)	SUBJ:3MP
wy	waya	IVPref-hm-ya	and + they (people)	CONJ + SUBJ:3MP
wy	wayu	IVPref-hm-yu	and + they (people)	CONJ + SUBJ:3MP
fy	faya	IVPref-hm-ya	and/so + they (people)	CONJ + SUBJ:3MP
fy	fayu	IVPref-hm-yu	and/so + they (people)	CONJ + SUBJ:3MP
sy	saya	IVPref-hm-ya	will + they (people)	FUT + SUBJ:3MP
sy	sayu	IVPref-hm-yu	will + they (people)	FUT + SUBJ:3MP
wsy	wasaya	IVPref-hm-ya	and + will + they (people)	CONJ + FUT + SUBJ:3MP
wsy	wasayu	IVPref-hm-yu	and + will + they (people)	CONJ + FUT + SUBJ:3MP
fsy	fasaya	IVPref-hm-ya	and/so + will + they (people)	CONJ + FUT + SUBJ:3MP
fsy	fasayu	IVPref-hm-yu	and/so + will + they (people)	CONJ + FUT + SUBJ:3MP
lAy	lAya	IVPref-hm-ya	not + they (people)	NEG_PART + SUBJ:3MP
lAy	lAyu	IVPref-hm-yu	not + they (people)	NEG_PART + SUBJ:3MP
wlAy	walAya	IVPref-hm-ya	and + not + they (people)	CONJ + NEG_PART + SUBJ:3MP
wlAy	walAyu	IVPref-hm-yu	and + not + they (people)	CONJ + NEG_PART + SUBJ:3MP
flAy	falAya	IVPref-hm-ya	and/so + not + they (people)	CONJ + NEG_PART + SUBJ:3MP
flAy	falAyu	IVPref-hm-yu	and/so + not + they (people)	CONJ + NEG_PART + SUBJ:3MP
mAy	mAya	IVPref-hm-ya	not + they (people)	NEG_PART + SUBJ:3MP
mAy	mAyu	IVPref-hm-yu	not + they (people)	NEG_PART + SUBJ:3MP
wmAy	wamAya	IVPref-hm-ya	and + not + they (people)	CONJ + NEG_PART + SUBJ:3MP
wmAy	wamAyu	IVPref-hm-yu	and + not + they (people)	CONJ + NEG_PART + SUBJ:3MP
fmAy	famAya	IVPref-hm-ya	and/so + not + they (people)	CONJ + NEG_PART + SUBJ:3MP
fmAy	famAyu	IVPref-hm-yu	and/so + not + they (people)	CONJ + NEG_PART + SUBJ:3MP
y	ya	IVPref-hn-ya	they [FEM PL]	SUBJ:3FP
y	yu	IVPref-hn-yu	they [FEM PL]	SUBJ:3FP
wy	waya	IVPref-hn-ya	and + they [FEM PL]	CONJ + SUBJ:3FP
